#,Name,Image,Icon,Availability,Availability 1,Time 1,Availability 2,Time 2,Location,Shadow Type,Tortimer Island Time,Spawn in Island Tour,Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),Season (Encyclopedia),Location (Encyclopedia),Size Range (Encyclopedia),Furniture Size,HHA Base Points,Furniture Image,When HHA Lucky,Source Group,Museum Description,Catch Quote,Catch Quote 2,Notes,Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH)
1,bitterling,,,Nov - Feb,Nov - Feb,All day,-,-,River,Tiny,-,No,900,720,-,Winter,River,,1x1,3,,Nov 25 - Feb 24,7C,"These fish are so small, they can fit their entire body in the palm of your hand. During mating season, the male's belly turns a light orange in order to properly attract a mate. They live in rivers and lakes and deposit eggs in large bivalves where the eggs hatch and live for a while.",I caught a bitterling! What's it so bitter about?,-,,タナゴ,amarguillo,amarguillo,bouvière,bouvière,Bitterling,rodeo,납줄개,22D7,22E1,int_fsh_tanago,No,,,,
2,pale chub,,,All year,All year,9 AM - 4 PM,-,-,River,Tiny,-,Yes,200,160,10,Year-round,River,,1x1,3,,-,0E,"These fish are related to carp, with distinguishing features such as long ventral fins and protruding mouths. They have good jumping abilities, which allow them to jump up and grab bugs hanging around the water. They are known as very active fish with rather scrappy attitudes, making them tenacious survivors. During mating season, the male's stomach turns pink and its back turns blue. Females love this.",I caught a pale chub! It could use some sun!,-,,オイカワ,cacho,cacho,chevaine,chevaine,Döbel,ciprinide,피라미,22D8,22E2,int_fsh_oikawa,No,,,,
3,crucian carp,,,All year,All year,All day,-,-,River,Small,-,Yes,120,96,6,Year-round,River,,1x1,3,,-,0E,"Crucian carp are fairly easy fish for beginners to catch, but they're also popular with veteran anglers. They are related to koi and can live up to 15 years, making them a great fish to keep in a pond. Male offspring are seldom born, so females significantly outnumber males, making populations suffer. Luckily, females can reproduce with males of some other species, so the problem is relatively temporary.",I caught a crucian carp! What a crucial catch!,-,,フナ,carpín,carpín,carassin,carassin,Karausche,carassio,붕어,22D9,22E3,int_fsh_funa,No,,,,
4,dace,,,All year,All year,4 PM - 9 AM,-,-,River,Medium,-,No,200,160,-,Year-round,River,,1x1,3,,-,0E,"Dace can live in cloudier, murkier water than most but are easy to see as their numbers are so plentiful. They are related to carp, and some species of dace live in the ocean as well as rivers and streams. During mating season, the bellies of the males develop an orange stripe to indicate their intent to mate.","I caught a dace! Wrong place, Mr. Dace!",-,,ウグイ,leucisco,leucisco,vandoise,vandoise,Hasel,lasca,황어,22DA,22E4,int_fsh_ugui,No,,,,
5,barbel steed,,,All year,All year,All day,-,-,River,Medium,-,Yes,200,160,10,Year-round,River,,1x1,3,,-,0E,"Barbel steeds have a longer distance between their eyes and mouths than carp do. This makes them look almost like they're averting their eyes downward in embarrassment. Their whiskers aren't as long as carp whiskers, so the resemblance is still only minor. They are full of bones, but they're edible nonetheless and actually taste similar to flounder.",I caught a barbel steed! It just needs a barbel saddle!,-,,ニゴイ,barbo,barbo,barbeau,barbeau,Barbe,barbo,누치,22DB,22E5,int_fsh_nigoi,No,,,,
6,carp,,,All year,All year,All day,-,-,River,Large,-,Yes,300,240,15,Year-round,River,,1x1,3,,-,0E,"These tough fish have very long life spans, capping out at ages surpassing 100 years. Their whiskers are one of their trademark features, making them relatively easy to identify. They're omnivorous and eat waterweed and bugs by sucking their food into their mouths. They also have teeth in the back of their throats that help break down shellfish for digestion.",I caught a carp! I really seized the diem!,-,,コイ,carpa,carpa,carpe,carpe,Karpfen,carpa,잉어,22DC,22E6,int_fsh_koi,No,,,,
7,koi,,,All year,All year,4 PM - 9 AM,-,-,River,Large,-,No,"4,000","3,200",-,Year-round,River,,1x1,3,,-,0E,"Though typically pale in color, these aquarium fish also can be found with rather beautiful patterns. This is all thanks to very selective breeding of carp with genetic mutations, allowing for diversity. No two koi have the exact same pattern and are popularly known as ""swimming jewels"" as a result. They can be sold for a very high price, depending on their coloring and pattern. If properly cared for, they can live for over 100 years, making them a staple for outdoor garden ponds.",I caught a koi! Can't play koi with me!,-,,ニシキゴイ,koi,koi,carpe koï,carpe koï,Koi-Karpfen,koi,비단잉어,22DD,22E7,int_fsh_nishiki,No,,,,
8,goldfish,,,All year,All year,All day,-,-,River,Tiny,-,No,"1,300","1,040",-,Year-round,River,,1x1,3,,-,0E,"These are aquarium fish that came about by selectively breeding types of crucian carp. It took hundreds of years to get the long tail fin and beautiful color of the current breed. Even red goldfish are black when they are young and still retain some other vestiges of the crucian carp. They turn red as they grow, thus gaining their much more commonly known look.",I caught a goldfish! It's worth its weight in gold!,-,,キンギョ,pez dorado,pez dorado,poisson rouge,poisson rouge,Goldfisch,pesce rosso,금붕어,22DE,22E8,int_fsh_kingyo,No,,,,
9,pop-eyed goldfish,,,All year,All year,9 AM - 4 PM,-,-,River,Tiny,-,No,"1,300","1,040",-,Year-round,River,,1x1,3,,-,0E,"They're known for their protruding eyes, as the name indicates, but this feature is actually a detriment. Their vision is quite poor, to the point that they will swim past food and frequently bump into things. They are a type of goldfish and get their distinguishing eye pop about two months after birth.",I got a pop-eyed goldfish! It should have eaten its spinach!,-,,デメキン,pez telescopio,pez telescopio,cyprin doré,cyprin doré,Teleskopauge,pesce telescopio,툭눈금붕어,22DF,22E9,int_fsh_demekin,No,,,,
10,killifish,,,Apr - Aug,Apr - Aug,All day,-,-,Holding Pond,Tiny,-,Yes,300,240,15,Spring - Summer,Holding Pond,,1x1,3,,-,0E,"Killifish are small, travel in schools, and are known for having eyes higher up on their faces than others. They swim in shallow areas in rivers and mostly eat bugs that float on the surface of the water. This is why they have mouths as high up their faces as their eyes, making them effective hunters. Being the same temperature as the water they inhabit, getting grabbed by warm hands can shock them.",I caught a killifish! Maybe I'll put it in a chili dish!,-,,メダカ,killi,killi,fondule barré,fondule barré,Killifisch,killifish,송사리,22E0,22EA,int_fsh_medaka,No,,,,
11,crawfish,,,Apr - Sep 15,Apr - Sep 15,All day,-,-,Holding Pond,Small,-,Yes,200,160,10,Spring - Fall,Holding Pond,,1x1,3,,-,0E,"These shrimp relatives are usually found in ponds and rivers, typically making them easy to catch. The reason for this strange habitat is that crawfish are plentiful and will eat just about anything. Eating plant material makes their bodies red, but only eating fish and meat will turn their bodies blue. A red color indicates they are eating a healthy and balanced diet, so red is the ideal for the species.",I caught a crawfish! Watch those pinchers!,-,,ザリガニ,cangrejo de río,cangrejo de río,écrevisse,écrevisse,Flusskrebs,gambero,가재,22E1,22EB,int_fsh_zarigani,No,,,,
12,soft-shelled turtle,,,Aug - Sep,Aug - Sep,4 PM - 9 AM,-,-,River,Medium,-,No,"3,750","3,000",-,Summer,River,,1x1,3,,-,0E,"These relatives of common turtles will not let go when they decide to bite down on something. Although they can be quite shy,  they will become a bit aggressive when threatened. They are often found in water and are very good swimmers because of the flat shape of their shells. They swim with their snouts over the surface of the water so they can breathe. Soft-shelled turtles aren't safe to hold because they are so prone to biting at the slightest movement. However, if one bites down on you, it will usually let go when you put it safely back in the water.",I caught a soft-shelled turtle! I can really shell it out!,I caught a soft-shelled turtle! Don't suffer shell shock!,,スッポン,tortuga cap. blando,tortuga cap. blando,tortue trionyx,tortue trionyx,Weichschildkröte,apalone ferox,자라,22E2,22EC,int_fsh_suppon,Yes,,,,
13,tadpole,,,Mar - Jul,Mar - Jul,All day,-,-,Holding Pond,Tiny,-,No,100,80,-,Spring - Summer,Holding Pond,,1x1,3,,-,0E,"Tadpoles are nothing more than baby frogs and generally inhabit ponds and streams. Their round heads and quirky style of movement give them a different kind of cuteness from adult frogs. They become more frog-like when they eventually grow legs and start to lose their tails. Unlike fish, though, their skin is very delicate because they do not have scales, so handle carefully.",I caught a tadpole... I'm sure it will grow on me.,-,,オタマジャクシ,renacuajo,renacuajo,têtard,têtard,Kaulquappe,girino,올챙이,22E3,22ED,int_fsh_otama,Yes,,,,
14,frog,,,May - Aug,May - Aug,All day,-,-,Holding Pond,Small,-,Yes,120,96,6,Summer,Holding Pond,,1x1,3,,-,0E,"These former tadpoles prefer to live near ponds and other damp and swampy places. They dwell on land, so they have lungs and skin as opposed to a set of gills. They like to stick close to water because they require a nice, moist lifestyle. Frogs are moist because they emit a liquid to protect their skin from dryness. If too much moisture evaporates from their thin skins, they could have trouble breathing. It's better not to handle frogs, as some species are poisonous, even to the touch!","I caught a frog! Hop to it, froggie!",-,,カエル,rana,rana,grenouille,grenouille,Frosch,rana,개구리,22E4,22EE,int_fsh_kaeru,No,,,,
15,freshwater goby,,,All year,All year,4 PM - 9 AM,-,-,River,Small,-,No,300,240,-,Year-round,River,,1x1,3,,-,0E,"These short and stocky river- dwelling fish have a lot of slender teeth for tearing apart other fish. Freshwater gobies dig holes under rocks in riverbeds to make nests for eggs, which the males guard. Other fish breeds take advantage of this protective quality and often lay eggs in goby nests.","I caught a freshwater goby! You fresh, goby!",-,,ドンコ,gobio de río,gobio de río,gobie d'eau douce,gobie d'eau douce,Flussgrundel,ghiozzo,동사리,22E5,22EF,int_fsh_donko,No,,,,
16,loach,,,Mar - May,Mar - May,All day,-,-,River,Small,-,No,300,240,-,Spring,River,,1x1,3,,Feb 25 - May 31,79,"Loaches are rather small fish that make their habitats in rivers and muddy water. They have 10 whiskers around their mouths with taste buds built in for tasting sweetness and bitterness. Loaches can breathe through their intestines as well as their gills—a rather unique quality of the species. They push their mouths above the surface of the water to inhale, exhaling through their tail regions. Making stew with loaches and burdock root is known to improve stamina, or so people believe.",I caught a loach! It wasn't hard to approach!,-,,ドジョウ,locha,locha,loche d'étang,loche d'étang,Bachschmerle,cobite,미꾸라지,22E6,22F0,int_fsh_dojou,No,,,,
